venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
Subrata Roy Sahara Stadium,2,Pune Warriors,Mumbai Indians,"RV Uthappa,JD Ryder,MJ Clarke","SL Malinga,MM Patel,Harbhajan Singh",37
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"F du Plessis,M Vijay,SK Raina","Ankit Sharma,DW Steyn,V Pratap Singh,DT Christian",56
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,"PA Patel,S Dhawan,CL White","BW Hilfenhaus,JA Morkel,DJ Bravo,R Ashwin",47
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,"R Dravid,AM Rahane,SR Watson","P Kumar,RJ Harris,P Awana",64
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,"SE Marsh,Mandeep Singh,N Saini,DJ Hussey","AA Chavan,SR Watson,SW Tait,J Botha",33
Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,"G Gambhir,BB McCullum","M Kartik,AB Dinda,B Kumar,WD Parnell",68
Eden Gardens,2,Pune Warriors,Kolkata Knight Riders,"RV Uthappa,MJ Clarke,MK Pandey,SPD Smith","Iqbal Abdulla,M de Lange",45
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,"M Vijay,F du Plessis","RJ Peterson,RP Singh,MM Patel,SL Malinga",52
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,"JEC Franklin,SR Tendulkar,RG Sharma","BW Hilfenhaus,JA Morkel,R Ashwin",46
M Chinnaswamy Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"DJ Harris,S Dhawan","Z Khan,A Mithun,P Parameswaran",46
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Deccan Chargers,"TM Dilshan,CH Gayle","S Dhawan,DW Steyn,V Pratap Singh,Anand Rajan",46
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"DA Warner,V Sehwag,DPMD Jayawardene,LRPL Taylor","B Lee,PJ Sangwan,JH Kallis,SP Narine",50
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"BB McCullum,G Gambhir","IK Pathan,S Nadeem,M Morkel,UT Yadav",60
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Deccan Chargers,"Mandeep Singh,SE Marsh","AA Jhunjhunwala,V Pratap Singh,J Theron,S Dhawan",51
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kings XI Punjab,"DJ Harris,S Dhawan,PA Patel,CL White","RR Powar,P Kumar,PP Chawla,P Awana,Azhar Mahmood",40
Subrata Roy Sahara Stadium,1,Pune Warriors,Rajasthan Royals,"SC Ganguly,MJ Clarke","AA Chavan,SW Tait,SR Watson,J Botha",35
Subrata Roy Sahara Stadium,2,Rajasthan Royals,Pune Warriors,"R Dravid,AM Rahane,SR Watson","WD Parnell,B Kumar,M Kartik,A Nehra",49
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"JEC Franklin,SR Tendulkar,RG Sharma,KD Karthik","Z Khan,R Vinay Kumar,HV Patel",25
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"TM Dilshan,CH Gayle","SL Malinga,RP Singh",35
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"DJ Harris,S Dhawan,KC Sangakkara","AD Russell,IK Pathan,M Morkel,VR Aaron",33
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,"V Sehwag,DA Warner,NV Ojha","S Dhawan,TP Sudhindra,MS Gony,A Ashish Reddy",64
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,"R Dravid,AM Rahane,SR Watson,STR Binny","JA Morkel,BW Hilfenhaus",28
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,"MEK Hussey,M Vijay,SK Raina","SR Watson,Pankaj Singh,SW Tait",36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,"CH Gayle,TM Dilshan","K Upadhyay,AC Thomas,B Kumar",66
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,"MD Mishra,MK Pandey,MJ Clarke,RV Uthappa,AP Majumdar","Z Khan,R Vinay Kumar,HV Patel,KP Appanna",50
"MA Chidambaram Stadium, Chepauk",1,Delhi Daredevils,Chennai Super Kings,"DA Warner,V Sehwag,NV Ojha,DPMD Jayawardene,Y Nagar,Y Venugopal Rao","BW Hilfenhaus,JA Morkel",27
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Delhi Daredevils,"MEK Hussey,M Vijay","M Morkel,UT Yadav,VR Aaron",45
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"HH Gibbs,SR Tendulkar,RG Sharma","Shakib Al Hasan,B Lee,SP Narine",49
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"MS Bisla,G Gambhir,JH Kallis,MK Tiwary","MM Patel,PP Ojha,SL Malinga",32
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,"S Dhawan,PA Patel","P Kumar,DJ Hussey,RJ Harris,P Awana,Azhar Mahmood",47
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,"N Saini,Mandeep Singh,SE Marsh,Azhar Mahmood","DW Steyn,TP Sudhindra,DT Christian,AA Jhunjhunwala",44
Sawai Mansingh Stadium,1,Rajasthan Royals,Pune Warriors,"R Dravid,AM Rahane,SR Watson","M Kartik,A Nehra,B Kumar,R Sharma",45
Sawai Mansingh Stadium,2,Pune Warriors,Rajasthan Royals,"SC Ganguly,JD Ryder,RV Uthappa,AP Majumdar,CJ Ferguson,SPD Smith","A Chandila,SR Watson,SW Tait",33
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle,TM Dilshan,V Kohli,SS Tiwary","MM Patel,RP Singh,SL Malinga",40
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"HH Gibbs,SR Tendulkar,RG Sharma,KD Karthik,AT Rayudu","Z Khan,R Vinay Kumar,HV Patel",32
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"G Gambhir,BB McCullum","SB Jakati,BW Hilfenhaus,R Ashwin",50
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey,M Vijay","M de Lange,L Balaji,SP Narine,JH Kallis",51
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"Mandeep Singh,SE Marsh,N Saini,DJ Hussey","IK Pathan,Y Venugopal Rao,M Morkel,VR Aaron",47
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"DA Warner,V Sehwag,Y Venugopal Rao,DPMD Jayawardene,LRPL Taylor,NV Ojha","P Kumar,Azhar Mahmood,P Awana",37
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir,BB McCullum,JH Kallis,MK Tiwary","MM Patel,RP Singh,SL Malinga",32
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"HH Gibbs,SR Tendulkar","L Balaji,Shakib Al Hasan,SP Narine,Iqbal Abdulla",26
Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle,TM Dilshan,V Kohli","IK Pathan,UT Yadav,VR Aaron,AD Russell",42
Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,"UBT Chand,DA Warner,Y Venugopal Rao,DPMD Jayawardene","TM Dilshan,Z Khan,R Vinay Kumar,HV Patel",51
Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,Kings XI Punjab,"M Vijay,MEK Hussey,SK Raina,MS Dhoni","P Kumar,RJ Harris,Azhar Mahmood",25
Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Chennai Super Kings,"AC Gilchrist,Mandeep Singh","BW Hilfenhaus,JA Morkel,R Ashwin",43
"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,Deccan Chargers,"R Dravid,AM Rahane,SR Watson","JP Duminy,DW Steyn,MS Gony,V Pratap Singh",41
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Rajasthan Royals,"PA Reddy,S Dhawan","A Chandila,SR Watson,SW Tait,J Botha",58
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,"AC Gilchrist,Mandeep Singh,PC Valthaty,DJ Hussey,SD Chitnis","M Morkel,UT Yadav",20
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,"UBT Chand,DA Warner","P Kumar,RJ Harris,P Awana",44
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,"BB McCullum,G Gambhir,JH Kallis","A Nehra,AG Murtaza,WD Parnell,B Kumar",27
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,"RV Uthappa,JD Ryder,MJ Clarke","L Balaji,Shakib Al Hasan,Iqbal Abdulla,SP Narine",40
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"S Dhawan,PA Reddy,KC Sangakkara,CL White,JP Duminy","Z Khan,R Vinay Kumar,P Parameswaran,M Muralitharan",23
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"CH Gayle,TM Dilshan,V Kohli,SS Tiwary","DW Steyn,MS Gony",40
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,"R Dravid,AM Rahane,SR Watson,STR Binny","RP Singh,DS Kulkarni,SL Malinga",31
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,"SR Tendulkar,DR Smith","A Chandila,SR Watson,SW Tait,GB Hogg",44
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Delhi Daredevils,"BB McCullum,G Gambhir","IK Pathan,UT Yadav,M Morkel,VR Aaron",48
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Kolkata Knight Riders,"DA Warner,V Sehwag,DPMD Jayawardene,NV Ojha","L Balaji,Shakib Al Hasan,JH Kallis,SP Narine",49
M Chinnaswamy Stadium,1,Chennai Super Kings,Mumbai Indians,"M Vijay,MEK Hussey,SK Raina,S Badrinath","Harbhajan Singh,DS Kulkarni,RP Singh,SL Malinga",30
M Chinnaswamy Stadium,2,Mumbai Indians,Chennai Super Kings,"SR Tendulkar,DR Smith,RG Sharma","SB Jakati,BW Hilfenhaus,R Ashwin",54
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"M Vijay,MEK Hussey","Sunny Gupta,UT Yadav,AD Russell,VR Aaron",52
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"DPMD Jayawardene,DA Warner,V Sehwag,LRPL Taylor","BW Hilfenhaus,JA Morkel",46
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey,M Vijay","B Lee,Shakib Al Hasan,SP Narine",54
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"MS Bisla,G Gambhir,JH Kallis","BW Hilfenhaus,JA Morkel,R Ashwin",56
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,"UBT Chand,DPMD Jayawardene,DA Warner","B Lee,JH Kallis,L Balaji,SP Narine",45
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,"MS Bisla,G Gambhir,JH Kallis","IK Pathan,A Nehra,UT Yadav",46
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle,TM Dilshan,V Kohli,MA Agarwal","MG Johnson,MM Patel,JJ Bumrah,JDP Oram",31
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"RT Ponting,SR Tendulkar","JD Unadkat,DT Christian,R Vinay Kumar,M Muralitharan",38
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Pune Warriors,"PA Reddy,PA Patel,KC Sangakkara","MN Samuels,B Kumar,AB Dinda",38
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Sunrisers Hyderabad,"RV Uthappa,MK Pandey","DW Steyn,I Sharma,NLTC Perera",27
Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,"MDKJ Perera,AM Rahane,R Dravid","IK Pathan,A Nehra,UT Yadav,AD Russell",45
Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,"DA Warner,UBT Chand,DPMD Jayawardene","S Badree,S Sreesanth",39
"MA Chidambaram Stadium, Chepauk",1,Mumbai Indians,Chennai Super Kings,"RT Ponting,SR Tendulkar,KD Karthik,RG Sharma","DP Nannes,AS Rajpoot",41
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Mumbai Indians,"MEK Hussey,M Vijay,SK Raina,DJ Bravo","MG Johnson,MM Patel,Harbhajan Singh",36
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle,TM Dilshan,V Kohli,KK Nair","DW Steyn,GH Vihari,I Sharma,Ankit Sharma",40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,"PA Reddy,PA Patel,CL White,GH Vihari","JD Unadkat,MC Henriques,M Kartik",37
Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,"RV Uthappa,MK Pandey,TL Suman,MN Samuels","P Kumar,RJ Harris,Azhar Mahmood,P Awana",24
Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,"AC Gilchrist,Mandeep Singh,M Vohra","B Kumar,AB Dinda,AD Mathews",56
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"SR Watson,AM Rahane,R Dravid","B Lee,Mohammed Shami,SP Narine",35
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"MS Bisla,G Gambhir,JH Kallis,MK Tiwary","S Sreesanth,SW Tait,R Shukla,KK Cooper",40
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"PA Reddy,PA Patel,KC Sangakkara","RP Singh,R Vinay Kumar,JD Unadkat,M Muralitharan",40
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"MA Agarwal,CH Gayle,V Kohli","GH Vihari,DW Steyn,I Sharma,NLTC Perera",47
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"RT Ponting,SR Tendulkar,KD Karthik,RG Sharma","IK Pathan,A Nehra,M Morkel,UT Yadav",38
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"UBT Chand,DPMD Jayawardene,DA Warner,MC Juneja","Harbhajan Singh,SL Malinga,MG Johnson",46
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,"Mandeep Singh,AC Gilchrist,M Vohra,DJ Hussey","DP Nannes,AS Rajpoot,CH Morris",43
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,"M Vijay,MEK Hussey","P Kumar,RJ Harris,Azhar Mahmood,P Awana",38
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"MS Bisla,G Gambhir,JH Kallis","MC Henriques,RP Singh,JD Unadkat,M Muralitharan",44
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle,MA Agarwal,V Kohli","R McLaren,JH Kallis,SP Narine",43
Subrata Roy Sahara Stadium,1,Rajasthan Royals,Pune Warriors,"MDKJ Perera,R Dravid,AM Rahane","B Kumar,AB Dinda,AD Mathews,R Sharma",44
Subrata Roy Sahara Stadium,2,Pune Warriors,Rajasthan Royals,"RV Uthappa,AJ Finch,LRPL Taylor","Harmeet Singh (2),S Sreesanth,JP Faulkner,KK Cooper",64
Feroz Shah Kotla,1,Delhi Daredevils,Sunrisers Hyderabad,"DA Warner,DPMD Jayawardene,V Sehwag,J Botha,MC Juneja","DW Steyn,I Sharma,NLTC Perera,Anand Rajan",29
Feroz Shah Kotla,2,Sunrisers Hyderabad,Delhi Daredevils,"PA Reddy,PA Patel,KC Sangakkara","IK Pathan,S Kaul,M Morkel,UT Yadav",38
Wankhede Stadium,1,Mumbai Indians,Pune Warriors,"RT Ponting,SR Tendulkar","AJ Finch,B Kumar,AB Dinda,R Sharma,AD Mathews",48
Wankhede Stadium,2,Pune Warriors,Mumbai Indians,"AJ Finch,LRPL Taylor,RV Uthappa,TL Suman,Yuvraj Singh,AD Mathews","MG Johnson,PP Ojha,Harbhajan Singh,SL Malinga",40
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"CH Gayle,MA Agarwal,V Kohli","DP Nannes,CH Morris,MM Sharma",33
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey,M Vijay,SK Raina,S Badrinath","R Rampaul,RP Singh,R Vinay Kumar,DT Christian",31
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"Mandeep Singh,AC Gilchrist,M Vohra,DJ Hussey,Gurkeerat Singh","A Chandila,S Sreesanth,KK Cooper",34
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"SR Watson,AM Rahane,R Dravid","P Kumar,RJ Harris,P Awana",48
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"MS Bisla,G Gambhir","DW Steyn,GH Vihari,I Sharma,NLTC Perera",48
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"PA Patel,CL White","L Balaji,SMSM Senanayake,SP Narine",39
"MA Chidambaram Stadium, Chepauk",1,Pune Warriors,Chennai Super Kings,"RV Uthappa,AJ Finch","DP Nannes,RA Jadeja,R Ashwin",48
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Pune Warriors,"S Anirudha,SK Raina,M Vijay,S Badrinath","B Kumar,AB Dinda,MR Marsh",38
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"AC Gilchrist,Mandeep Singh,M Vohra","L Balaji,JH Kallis,SMSM Senanayake,SP Narine",35
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"MS Bisla,JH Kallis,G Gambhir,EJG Morgan","P Kumar,Azhar Mahmood,MS Gony",45
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"DA Warner,V Sehwag,MC Juneja","R Rampaul,RP Singh,JD Unadkat,R Vinay Kumar",43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle,KL Rahul,AB de Villiers,V Kohli","A Nehra,M Morkel,IK Pathan",48
Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,Pune Warriors,"PA Patel,Q de Kock,CL White,GH Vihari,BB Samantray","B Kumar,AB Dinda,AD Mathews",25
Subrata Roy Sahara Stadium,2,Pune Warriors,Sunrisers Hyderabad,"RV Uthappa,AJ Finch,SPD Smith,TL Suman","I Sharma,DW Steyn,NLTC Perera",41
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,"SR Watson,AM Rahane","MG Johnson,SL Malinga,R Dhawan,PP Ojha",58
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,"SR Tendulkar,RT Ponting,KD Karthik,RG Sharma","A Chandila,AA Chavan,JP Faulkner",26
Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,"MEK Hussey,M Vijay,SK Raina","S Nadeem,IK Pathan,M Morkel,UT Yadav",39
Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,"DA Warner,V Sehwag,MC Juneja,DPMD Jayawardene,KM Jadhav,BMAJ Mendis","JA Morkel,MM Sharma,CH Morris",32
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,"Mandeep Singh,AC Gilchrist,PC Valthaty","GH Vihari,DW Steyn,I Sharma,NLTC Perera",36
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,"Q de Kock,GH Vihari,PA Reddy","P Kumar,AD Mascarenhas,Azhar Mahmood",33
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"SR Watson,AM Rahane,R Dravid,STR Binny","R Rampaul,RP Singh,JD Unadkat",31
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"TM Dilshan,CH Gayle","A Chandila,S Sreesanth,SW Tait,JP Faulkner",48
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"G Gambhir,YK Pathan","JA Morkel,MM Sharma,CH Morris",47
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey,R Ashwin,M Vijay","L Balaji,SMSM Senanayake,SP Narine",27
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"DR Smith,SR Tendulkar,KD Karthik,RG Sharma","IK Pathan,S Nadeem,RE van der Merwe,UT Yadav",24
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"DPMD Jayawardene,V Sehwag","SL Malinga,JJ Bumrah,MM Patel",60
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,"RV Uthappa,AJ Finch","P Kumar,Azhar Mahmood,P Awana",48
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,"AC Gilchrist,Azhar Mahmood,M Vohra,Mandeep Singh","B Kumar,BAW Mendis,AB Dinda,R Sharma",55
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"SR Watson,AM Rahane","MM Sharma,JO Holder,CH Morris,R Ashwin",55
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"M Vijay,MEK Hussey,SK Raina","A Chandila,R Shukla,JP Faulkner,KK Cooper",58
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"DPMD Jayawardene,RE van der Merwe,V Sehwag,DA Warner","P Kumar,P Awana,Harmeet Singh",40
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"AC Gilchrist,Mandeep Singh,LA Pomersbach,DA Miller","IK Pathan,A Nehra,J Botha,RE van der Merwe,UT Yadav",56
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,"CH Gayle,TM Dilshan","B Kumar,IC Pandey,AB Dinda,MR Marsh",62
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,"RV Uthappa,AJ Finch,Yuvraj Singh,LJ Wright,SPD Smith","M Kartik,RP Singh,R Rampaul,JD Unadkat",43
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"YK Pathan,G Gambhir,JH Kallis","Harbhajan Singh,MG Johnson,SL Malinga,PP Ojha",61
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"DR Smith,SR Tendulkar,KD Karthik","L Balaji,Iqbal Abdulla,SP Narine,SMSM Senanayake",42
"MA Chidambaram Stadium, Chepauk",1,Sunrisers Hyderabad,Chennai Super Kings,"Q de Kock,GH Vihari,S Dhawan,CL White,A Mishra","MM Sharma,JO Holder,R Ashwin",40
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Sunrisers Hyderabad,"MEK Hussey,M Vijay","DJG Sammy,I Sharma,DW Steyn,KV Sharma,A Mishra",58
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"AC Gilchrist,Mandeep Singh","L Balaji,SMSM Senanayake,SP Narine",45
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"MS Bisla,G Gambhir,YK Pathan,JH Kallis","P Kumar,Azhar Mahmood,BA Bhatt",45
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"PA Reddy,S Dhawan,KC Sangakkara,GH Vihari,KV Sharma,NLTC Perera,DJG Sammy","A Chandila,JP Faulkner,SR Watson",29
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"R Dravid,AM Rahane,SR Watson","DW Steyn,I Sharma,NLTC Perera",30
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"DR Smith,SR Tendulkar,KD Karthik","R Rampaul,RP Singh,JD Unadkat,R Vinay Kumar",52
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle,TM Dilshan,V Kohli","MG Johnson,SL Malinga,DS Kulkarni",35
Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Pune Warriors,"DPMD Jayawardene,V Sehwag,UBT Chand","B Kumar,KW Richardson,AB Dinda",37
Shaheed Veer Narayan Singh International Stadium,2,Pune Warriors,Delhi Daredevils,"RV Uthappa,AJ Finch","IK Pathan,UT Yadav,M Morkel,A Nehra",43
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"WP Saha,MEK Hussey","YK Pathan,Mohammed Shami,L Balaji,SP Narine,JH Kallis",67
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"MS Bisla,G Gambhir,BB McCullum","DP Nannes,MM Sharma,CH Morris",63
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"DR Smith,SR Tendulkar,KD Karthik","P Kumar,Azhar Mahmood",36
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"Mandeep Singh,SE Marsh,M Vohra,DJ Hussey","MG Johnson,SL Malinga,DS Kulkarni",55
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"A Mukund,CH Gayle,V Kohli","A Chandila,JP Faulkner,S Sreesanth,SR Watson",55
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"R Dravid,AM Rahane,SV Samson","R Rampaul,RP Singh,R Vinay Kumar,MC Henriques",45
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,"MEK Hussey,WP Saha,SK Raina,S Badrinath","R Sharma,B Kumar,KW Richardson",29
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,"RV Uthappa,AJ Finch,TL Suman,Yuvraj Singh,SPD Smith,LJ Wright","RA Jadeja,JA Morkel,MM Sharma,CH Morris",46
Shaheed Veer Narayan Singh International Stadium,1,Kolkata Knight Riders,Delhi Daredevils,"MS Bisla,YK Pathan,JH Kallis","IK Pathan,A Nehra,UT Yadav,M Morkel",37
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Kolkata Knight Riders,"DPMD Jayawardene,V Sehwag,UBT Chand,DA Warner","B Lee,L Balaji,JH Kallis,SP Narine",34
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"DR Smith,SR Tendulkar,KD Karthik,RG Sharma","KV Sharma,DW Steyn,I Sharma,NLTC Perera",41
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"PA Reddy,S Dhawan,KC Sangakkara","MG Johnson,DS Kulkarni,Harbhajan Singh,SL Malinga",36
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,"WP Saha,MEK Hussey,SK Raina","P Kumar,DJ Hussey,P Awana",36
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,"LA Pomersbach,Mandeep Singh,SE Marsh","JA Morkel,MM Sharma",36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,"SS Tiwary,CH Gayle","B Kumar,BAW Mendis,TL Suman,AD Mathews",30
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,"RV Uthappa,AJ Finch,TL Suman","M Kartik,RP Singh,MC Henriques,R Vinay Kumar",39
